feature,train_auc,test_auc,auc_drop,missing_rate_train
ENTRANCES_AVG,0.5267232080515623,0.5244441045988637,0.00227910345269855,0.5121730458630072
HOUSING_QUALITY_STD,0.5258358028919267,0.524384605432627,0.001451197459299669,0.49250430880296575
ENTRANCES_MEDI,0.52634562419964,0.5241789602005404,0.002166663999099594,0.5121730458630072
AMT_REQ_CREDIT_BUREAU_YEAR,0.5215058031457206,0.5239841717318446,-0.0024783685861240468,0.15168612402848689
FLOORSMIN_AVG,0.5386786381342064,0.5238699870493415,0.014808651084864843,0.6840048562106381
FLOORSMIN_MODE,0.5363486081135053,0.523168647940681,0.013179960172824301,0.6840048562106381
HOUR_APPR_PROCESS_START,0.5267056337507134,0.5223697107368158,0.004335923013897625,0.0
EXT_SOURCE_COUNT,0.5301356938219894,0.5219818687451487,0.008153825076840704,0.0
OBS_30_CNT_SOCIAL_CIRCLE,0.5070333640357563,0.5207764394053961,-0.013743075369639812,0.0033332249357744463
DEF_30_CNT_SOCIAL_CIRCLE,0.5191561825446473,0.5207068748927718,-0.0015506923481244383,0.0033332249357744463
COMMONAREA_MEDI,0.5212366755508764,0.5206122960922992,0.0006243794585771845,0.7039771064355631
COMMONAREA_AVG,0.5218897004041545,0.5203789712191458,0.001510729185008719,0.7039771064355631
OBS_60_CNT_SOCIAL_CIRCLE,0.5070941339027487,0.5202260406343138,-0.013131906731565057,0.0033332249357744463
CNT_CHILDREN,0.5158621142643932,0.519370680677409,-0.003508566413015779,0.0
ENTRANCES_MODE,0.5237939876022275,0.519246098807711,0.004547888794516508,0.5121730458630072
REG_CITY_NOT_LIVE_CITY,0.521057432453681,0.5188402062380048,0.0022172262156762157,0.0
COMMONAREA_MODE,0.5176697062502729,0.518784826123067,-0.0011151198727941125,0.7039771064355631
FLAG_DOCUMENT_6,0.5054424649342653,0.5184476354573,-0.013005170523034737,0.0
ANNUITY_INCOME_RATIO,0.5211171089911218,0.5175077723779467,0.003609336613175196,4.3359023554789544e-05
