feature,bucket,test_auc,auc_drop,mean_shift_z,is_top_adversarial_driver
ENTRANCES_MODE,use_carefully,0.519246098807711,0.004547888794516508,0.018371065490760192,False
REG_CITY_NOT_LIVE_CITY,use_carefully,0.5188402062380048,0.0022172262156762157,0.15337405111209002,False
COMMONAREA_MODE,use_carefully,0.518784826123067,-0.0011151198727941125,0.01566308847957855,False
ANNUITY_INCOME_RATIO,use_carefully,0.5175077723779467,0.003609336613175196,0.06789826189396907,False
DEF_60_CNT_SOCIAL_CIRCLE,use_carefully,0.5173779792784322,-0.001717093648140211,0.016525220346362057,False
YEARS_BUILD_MEDI,use_carefully,0.5172220024268537,0.011016659536714601,0.007379484544476641,False
YEARS_BUILD_MODE,use_carefully,0.5169135017788083,0.010623279798359753,0.007535512689099116,False
BASEMENTAREA_AVG,use_carefully,0.5168332106423228,0.011089897014250005,0.006731616985724886,False
FLAG_PHONE,use_carefully,0.5164297222841657,0.0033209165322598544,0.07240163215032172,False
YEARS_BUILD_AVG,use_carefully,0.5163011931940524,0.012079031804814955,0.00732897883229882,False
BASEMENTAREA_MEDI,use_carefully,0.5161888884529378,0.011031683192627817,0.0066019305757692125,False
NONLIVINGAREA_AVG,use_carefully,0.5153918649343063,-0.0018029981250924365,0.007369840060562625,False
NONLIVINGAREA_MEDI,use_carefully,0.515167179365312,-0.0028033080935653265,0.00802677826949522,False
NONLIVINGAREA_MODE,use_carefully,0.5148469450823258,-0.003985301134165398,0.006631740099389353,False
AMT_GOODS_PRICE,use_carefully,0.5137299603334672,0.02939964837240705,0.03014158272366307,False
INCOME_PER_FAM_MEMBER,use_carefully,0.5135863944457303,0.008042387037709764,0.09278291374602549,False
CNT_FAM_MEMBERS,use_carefully,0.5134831118177846,-0.00961620610885816,0.07074384226880112,False
BASEMENTAREA_MODE,use_carefully,0.5114006345162788,0.011513764934020343,0.004204782297922232,False
CREDIT_PER_FAM_MEMBER,use_carefully,0.5080976641533229,0.017367679574903927,0.01741093347482876,False
CREDIT_INCOME_RATIO,use_carefully,0.5076231261232791,-0.0012262643935294637,0.0815084142532366,False
LANDAREA_AVG,use_carefully,0.5073421791421786,0.010526374153647655,0.003061726478440416,False
LANDAREA_MEDI,use_carefully,0.5067029936860736,0.010992677985302013,0.002868155299115123,False
AMT_INCOME_TOTAL_CAPPED,use_carefully,0.5058145524459913,0.022662896681076128,0.05354188881392969,False
AMT_INCOME_TOTAL,use_carefully,0.5058145524459912,0.02266477524697985,0.016617225865619555,False
REG_REGION_NOT_WORK_REGION,use_carefully,0.5053107529290319,-0.004459542248005932,0.08534885977503394,False
LANDAREA_MODE,use_carefully,0.5039320732366808,0.011473854841987707,0.0027512324505697744,False
LIVE_REGION_NOT_WORK_REGION,use_carefully,0.5033617161011392,-0.0026023237796020116,0.05820419421888345,False
NONLIVINGAPARTMENTS_AVG,use_carefully,0.5032602379354304,0.002381189237126047,0.0023129182950667833,False
FLAG_DOCUMENT_16,use_carefully,0.5019718771576551,0.0005653694875157322,0.007904035697343905,False
AMT_REQ_CREDIT_BUREAU_DAY,use_carefully,0.5019119416441606,-0.001565949281918333,0.0027816653344709206,False
REG_REGION_NOT_LIVE_REGION,use_carefully,0.5017855034113197,-0.000603783042587569,0.06447990227243583,False
FLAG_DOCUMENT_8,use_carefully,0.501517815861345,0.004910305725131292,0.06661673755417714,False
NONLIVINGAPARTMENTS_MODE,use_carefully,0.5014696141212518,0.00010071812457468354,0.0008460334803560957,False
NONLIVINGAPARTMENTS_MEDI,use_carefully,0.5014547863263814,0.0028164733144491194,0.0011209930395552085,False
SK_ID_CURR,use_carefully,0.5013709168195696,0.00019815503964892844,0.0003045944740482163,False
FLAG_DOCUMENT_13,use_carefully,0.5010859050861804,0.00022642218959678662,0.01581333348739249,False
FLAG_DOCUMENT_18,use_carefully,0.5007908899665511,0.000803804983001144,0.03383212951964513,False
FLAG_DOCUMENT_14,use_carefully,0.5007657084681492,0.00041259069134103044,0.02151377845669664,False
AMT_REQ_CREDIT_BUREAU_HOUR,use_carefully,0.5007459126715966,-0.0006991210472394593,0.00470896679115727,False
FLAG_DOCUMENT_5,use_carefully,0.5005310132798053,-0.00020584949871049751,0.013965650553775357,False
FLAG_DOCUMENT_9,use_carefully,0.5004495601208901,0.00018045142877587406,0.024639454336730336,False
FLAG_EMAIL,use_carefully,0.5004004164827525,0.0008321792337835365,0.04372015670505654,False
FLAG_DOCUMENT_15,use_carefully,0.5003763916331427,5.807059256213165e-05,0.008223913177088595,False
FLAG_DOCUMENT_11,use_carefully,0.5002549017033869,0.0004135289858819835,0.037262484888539,False
FLAG_CONT_MOBILE,use_carefully,0.5002341029284201,-0.00012328125487226504,0.006439038752676737,False
FLAG_DOCUMENT_20,use_carefully,0.5001689194979966,-0.00012936826728904283,0.0016554296097937567,False
FLAG_DOCUMENT_19,use_carefully,0.5001429576100481,-1.529421112123064e-05,0.0022308920217061017,False
FLAG_DOCUMENT_2,use_carefully,0.5001168842378787,-0.00010190237645757438,0.0028511829335266274,False
FLAG_DOCUMENT_17,use_carefully,0.500086539626495,2.654622926245853e-05,0.009018138341486048,False
FLAG_DOCUMENT_7,use_carefully,0.5000389985740332,6.232821080831563e-05,0.0007983567638765002,False
FLAG_DOCUMENT_21,use_carefully,0.5000346158505979,0.00013936781464829462,0.019964170373855148,False
FLAG_DOCUMENT_4,use_carefully,0.500017307925299,3.335546712179838e-05,0.006211345123132505,False
FLAG_DOCUMENT_10,use_carefully,0.5000086539626495,2.866360130360235e-07,6.556339498902726e-08,False
